City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Savalou,68,BJ,1585508988,35,7.93,1.98,94.93,3.2
Yelizovo,75,RU,1585508988,62,53.19,158.38,24.8,4.47
Coyhaique,75,CL,1585508989,58,-45.58,-72.07,53.6,5.82
Melita,75,CA,1585508989,62,49.27,-101.0,41.04,9.04
Oussouye,13,SN,1585508989,61,12.48,-16.55,93.2,6.93
Sur,0,OM,1585508989,65,22.57,59.53,76.6,17.11
Saskylakh,73,RU,1585508990,87,71.92,114.08,-19.34,3.67
Jamestown,75,US,1585508883,72,42.1,-79.24,68.0,20.8
Mabaruma,93,GY,1585508990,63,8.2,-59.78,84.4,10.69
Coquimbo,97,CL,1585508909,64,-29.95,-71.34,69.8,14.99
Opuwo,61,NA,1585508990,38,-18.06,13.84,78.4,3.58
San Quintín,36,MX,1585508990,57,30.48,-115.95,61.65,17.92
Xingyi,1,CN,1585508990,20,24.19,102.82,61.43,7.09
Humberto de Campos,53,BR,1585508990,77,-2.6,-43.46,85.15,6.51
Najrān,5,SA,1585508990,28,17.49,44.13,84.2,16.11
Castro,100,BR,1585508991,68,-24.79,-50.01,69.75,2.28
Ayorou,25,NE,1585508991,11,14.73,0.92,97.47,5.99
Hilo,75,US,1585508991,83,19.73,-155.09,72.0,3.36
Fougamou,66,GA,1585508991,89,-1.22,10.58,79.18,3.2
Luanda,20,AO,1585508991,74,-8.84,13.23,82.4,9.17
Kavieng,93,PG,1585508991,73,-2.57,150.8,82.89,5.01
Praia,75,CV,1585508991,57,14.92,-23.51,77.0,18.34
Geraldton,27,AU,1585508991,76,-28.77,114.6,57.2,6.93
Margate,20,GB,1585508848,59,51.38,1.39,42.01,11.41
Acaxochitlán,51,MX,1585508992,33,20.17,-98.2,68.29,8.34
Acapulco de Juárez,5,MX,1585508957,70,16.86,-99.89,84.2,6.93
Jay,90,US,1585508992,69,44.5,-70.22,44.01,10.29
Mehamn,75,NO,1585508992,73,71.04,27.85,23.0,26.4
Talnakh,75,RU,1585508992,92,69.49,88.4,21.2,15.66
Carnarvon,66,AU,1585508992,73,-24.87,113.63,73.4,13.87
Padang,100,ID,1585508992,82,-0.95,100.35,76.6,4.34
Cascais,93,PT,1585508992,54,38.7,-9.42,60.01,8.05
Reconquista,17,AR,1585508992,37,-29.15,-59.65,90.05,3.51
Diffa,84,NE,1585508992,15,13.32,12.61,91.45,7.05
Pisco,85,PE,1585508993,30,-13.7,-76.22,75.99,11.41
Taltal,65,CL,1585508993,55,-25.4,-70.48,73.83,9.08
Petropavlovsk-Kamchatskiy,75,RU,1585508993,62,53.05,158.65,24.8,4.47
Mitsamiouli,75,KM,1585508993,69,-11.38,43.28,82.4,3.36
Puerto Ayacucho,40,VE,1585508993,30,5.66,-67.62,98.6,16.11
Stokmarknes,93,NO,1585508993,80,68.56,14.91,25.0,10.09
Havre-St-Pierre,1,CA,1585508993,91,50.23,-63.6,32.0,5.82
Vila Franca do Campo,75,PT,1585508993,67,37.72,-25.43,60.8,14.99
Rovaniemi,21,FI,1585508994,41,66.5,25.72,21.2,8.05
Bambous Virieux,75,MU,1585508994,94,-20.34,57.76,80.6,9.17
Río Cuarto,75,AR,1585508703,54,-33.13,-64.35,80.6,9.17
Khatanga,98,RU,1585508994,91,71.97,102.5,-10.75,1.16
Udachny,90,RU,1585508994,92,66.42,112.4,10.4,2.24
Sabha,86,LY,1585508994,35,27.04,14.43,75.15,10.58
Nanchang,100,CN,1585508994,92,28.68,115.88,45.99,7.61
Longyearbyen,40,SJ,1585508716,59,78.22,15.64,3.2,8.05
Walvis Bay,30,NA,1585508926,90,-22.96,14.51,61.0,1.99
Claresholm,1,CA,1585508994,60,50.03,-113.59,48.0,20.8
Isangel,100,VU,1585508723,87,-19.55,169.27,77.72,19.35
Nianzishan,100,CN,1585508707,60,47.52,122.88,38.59,4.59
Kununurra,50,AU,1585508995,83,-15.77,128.73,73.4,2.19
Los Llanos de Aridane,75,ES,1585508995,68,28.66,-17.92,68.0,4.7
Bayevo,98,RU,1585508995,96,53.28,80.77,28.94,9.53
Trofors,75,NO,1585508995,86,65.53,13.41,30.2,4.7
Korsholm,75,FI,1585508995,68,63.11,21.68,28.4,1.12
Codrington,45,AU,1585508996,79,-38.27,141.97,59.11,14.09
Nikolskoye,86,RU,1585508996,54,59.7,30.79,28.4,2.24
Arraial do Cabo,20,BR,1585508996,61,-22.97,-42.03,82.4,12.75
Upernavik,100,GL,1585508996,94,72.79,-56.15,11.39,11.54
Sistranda,90,NO,1585508996,78,63.73,8.83,32.0,6.93
Luba,75,GQ,1585508996,100,3.46,8.55,80.6,5.82
Corbu,100,RO,1585508997,46,44.38,28.65,50.0,8.05
Searcy,1,US,1585508997,37,35.25,-91.74,71.6,4.7
Boyabat,96,TR,1585508997,71,41.47,34.77,47.23,1.16
Makakilo City,75,US,1585508903,100,21.35,-158.09,77.0,12.39
Oruzgan,100,AF,1585508997,47,32.83,66.0,46.56,3.8
Luxor,0,EG,1585508997,31,25.7,32.64,73.4,7.18
Meulaboh,80,ID,1585508997,80,4.14,96.13,80.19,1.92
Moranbah,10,AU,1585508997,88,-22.0,148.05,66.79,9.4
Yulara,99,AU,1585508997,33,-25.24,130.99,77.0,9.17
Faanui,44,PF,1585508997,72,-16.48,-151.75,83.28,9.75
Vardø,90,NO,1585508998,85,70.37,31.11,17.6,27.51
Ust'-Karsk,22,RU,1585508998,85,52.7,118.81,25.07,3.36
Chokurdakh,99,RU,1585508998,95,70.63,147.92,6.4,10.33
Ahipara,2,NZ,1585508998,79,-35.17,173.17,59.94,7.05
Meadow Lake,1,US,1585508998,16,34.8,-106.54,60.01,10.29
Dwārka,0,IN,1585508998,73,22.24,68.97,77.09,11.68
Lata,20,PT,1585508998,76,40.16,-8.33,61.0,2.24
Soavinandriana,3,MG,1585508826,67,-19.17,46.73,60.12,2.39
Rawson,0,AR,1585508745,30,-43.3,-65.1,68.11,4.94
Mar del Plata,75,AR,1585508839,94,-38.0,-57.56,70.0,11.41
Beaufort,75,MY,1585508999,94,5.35,115.75,80.6,2.24
Partenit,92,UA,1585508999,77,44.58,34.34,51.46,7.36
Brigantine,90,US,1585508999,93,39.41,-74.36,59.0,9.17
Salinópolis,14,BR,1585508999,78,-0.61,-47.36,83.48,13.8
Smithers,75,CA,1585509000,86,54.78,-127.17,37.4,3.36
Kirishi,97,RU,1585509000,29,59.45,32.02,26.01,4.16
Kiama,40,AU,1585509000,72,-34.68,150.87,68.0,10.29
Dori,61,BF,1585509000,10,14.04,-0.03,97.92,6.76
Kruisfontein,32,ZA,1585509000,74,-34.0,24.73,60.64,5.59
Kovdor,94,RU,1585509000,91,67.57,30.48,17.98,10.49
Ponta Delgada,75,PT,1585509001,67,37.73,-25.67,60.8,14.99
Naze,90,JP,1585508962,88,28.37,129.48,62.6,3.36
Sinnamary,97,GF,1585509001,79,5.38,-52.95,81.41,14.47
Half Moon Bay,20,US,1585508861,76,37.46,-122.43,59.0,10.29
Goderich,72,CA,1585509001,67,43.75,-81.72,62.01,23.62
Hanzhong,36,CN,1585509001,66,33.07,107.03,44.11,1.74
Ulaangom,68,MN,1585509003,76,49.98,92.07,16.48,6.17
Srednekolymsk,28,RU,1585508952,89,67.45,153.68,16.66,9.86
Nyurba,44,RU,1585509003,95,63.28,118.33,15.55,4.94
Cañazas,45,PA,1585509003,31,8.32,-81.22,92.43,10.11
Senno,100,RU,1585509004,83,59.53,33.92,27.7,7.36
Cururupu,29,BR,1585509004,71,-1.83,-44.87,86.25,7.78
Sayhāt,0,SA,1585509004,72,26.49,50.04,71.6,10.29
Weinan,33,CN,1585509004,93,34.5,109.51,46.99,3.4
Laas,90,IT,1585509004,60,46.62,10.7,44.01,6.93
Watertown,90,US,1585509004,93,42.37,-71.18,44.01,20.8
Santiago,61,CL,1585508821,36,-33.46,-70.65,82.4,3.36
Traralgon,14,AU,1585509005,97,-38.18,146.53,59.0,2.86
Mariinsk,100,RU,1585509005,95,56.21,87.75,29.12,13.58
Aksha,100,RU,1585509005,76,50.28,113.29,25.25,5.59
Luanda,20,AO,1585508991,74,-8.84,13.23,82.4,9.17
Poum,19,NC,1585509005,77,-20.23,164.02,77.77,17.36
Jodiya,0,IN,1585509005,48,22.69,70.31,81.0,7.65
Tsiroanomandidy,6,MG,1585508826,70,-18.77,46.03,67.26,2.13
Kaitangata,46,NZ,1585509005,85,-46.28,169.85,55.0,15.99
Alta Floresta,82,BR,1585509006,75,-9.88,-56.09,83.73,4.85
Emerald,0,AU,1585509006,88,-23.53,148.17,69.8,4.7
Celestún,0,MX,1585508771,58,20.87,-90.4,84.83,6.73
Marrakesh,40,MA,1585508763,40,31.63,-8.01,68.0,3.36
Vila,75,PT,1585509007,51,42.03,-8.16,61.0,9.17
Valparaíso,69,CL,1585509007,41,-33.04,-71.63,77.0,8.05
Kutum,14,SD,1585509007,13,14.2,24.67,78.58,13.29
Muzhi,71,RU,1585509001,93,65.37,64.67,23.97,12.53
Sorong,99,ID,1585509007,88,-0.88,131.25,77.74,3.15
Vestmannaeyjar,75,IS,1585509007,75,63.44,-20.27,42.8,18.34
Zapolyarnyy,75,RU,1585509008,79,69.42,30.81,21.2,16.11
Morant Bay,20,JM,1585508851,62,17.88,-76.41,86.0,28.86
Ati,12,TD,1585509008,9,13.22,18.34,95.41,9.82
Gachsaran,20,IR,1585508808,87,30.36,50.8,57.2,3.49
Toora-Khem,13,RU,1585509008,84,52.47,96.11,13.53,2.75
Adrar,29,MR,1585509008,11,20.5,-10.07,85.64,8.9
Matagami,75,CA,1585509008,36,49.75,-77.63,44.6,10.29
Kapit,98,MY,1585509009,94,2.02,112.93,74.8,0.67
Port Jervis,90,US,1585509009,93,41.38,-74.69,48.2,6.93
Garhākota,1,IN,1585509010,20,23.77,79.15,79.29,9.24
Tadine,97,NC,1585509010,77,-21.55,167.88,75.31,16.8
Caravelas,93,BR,1585509010,76,-17.71,-39.25,81.25,15.32
Laguna,75,US,1585509010,71,38.42,-121.42,62.01,3.36
Fortuna,90,US,1585509010,71,40.6,-124.16,57.2,11.41
Saint Anthony,90,US,1585509010,75,45.02,-93.22,44.01,17.22
Halifax,75,CA,1585508817,24,44.65,-63.57,52.0,8.05
Severo-Yeniseyskiy,97,RU,1585509010,94,60.37,93.04,19.85,8.88
Verkhnevilyuysk,66,RU,1585508736,95,63.45,120.32,14.25,4.29
Bundaberg,15,AU,1585509011,94,-24.85,152.35,68.0,6.93
Alghero,56,IT,1585509011,81,40.56,8.32,51.8,5.82
Lethem,86,GY,1585509011,43,3.38,-59.8,94.64,9.86
Preobrazheniye,4,RU,1585509011,87,42.9,133.91,34.23,6.96
Bandarbeyla,52,SO,1585509011,72,9.49,50.81,80.15,10.45
Tangzhai,88,CN,1585509011,79,34.43,116.59,39.22,3.89
Pochutla,5,MX,1585509012,38,15.74,-96.47,93.2,11.41
Atambua,94,ID,1585509012,78,-9.11,124.89,73.45,3.38
Morros,98,BR,1585509012,54,-9.45,-46.3,85.19,9.98
College,1,US,1585509012,45,64.86,-147.8,9.0,5.82
Lorengau,76,PG,1585509013,80,-2.02,147.27,81.91,7.78
Katsuura,75,JP,1585509013,75,35.13,140.3,42.8,13.87
Lichinga,20,MZ,1585509013,73,-13.31,35.24,61.54,3.04
Chimbote,77,PE,1585509013,61,-9.09,-78.58,80.56,12.48
Kargasok,89,RU,1585509013,96,59.06,80.86,34.16,14.56
Barberino di Mugello,40,IT,1585509014,62,44.0,11.24,59.0,6.93
Benguela,18,AO,1585509014,79,-12.58,13.41,78.12,4.36
Saint George,75,US,1585508914,35,37.1,-113.58,57.99,3.36
The Pas,20,CA,1585509014,46,53.83,-101.25,8.6,16.11
Jiuquan,100,CN,1585509014,25,39.74,98.52,45.16,8.21
São João da Barra,20,BR,1585509014,51,-21.64,-41.05,86.0,11.41
Kirkenær,69,NO,1585509014,38,60.46,12.06,39.2,2.24
Dondo,1,MZ,1585509015,78,-19.61,34.74,77.0,6.93
Vulcan,33,RO,1585509015,58,45.38,23.27,40.68,1.25
Oddur,70,SO,1585509015,46,4.12,43.89,85.08,9.62
Tanout,39,NE,1585509015,9,14.97,8.89,91.02,11.12
Brae,79,GB,1585508907,81,60.4,-1.35,44.6,10.29
Tiarei,80,PF,1585509016,58,-17.53,-149.33,87.8,6.93
Olafsvik,98,IS,1585508920,87,64.89,-23.71,41.23,19.46
Ayan,5,RU,1585509016,88,56.45,138.17,22.17,10.02
Córdoba,40,AR,1585509016,51,-31.41,-64.18,86.0,8.05
Tonj,33,SS,1585509016,32,7.27,28.68,87.24,3.65
Tigil',49,RU,1585509017,94,57.8,158.67,13.86,9.71
Hirara,92,JP,1585509017,69,24.8,125.28,69.46,3.24
Ancud,20,CL,1585509017,51,-41.87,-73.82,59.0,3.36
Pecos,1,US,1585509017,11,31.42,-103.49,72.0,11.41
Mogok,0,MM,1585509017,25,22.92,96.5,69.42,1.32
Sandakan,20,MY,1585509017,83,5.84,118.12,80.6,0.72
Terra Nova,75,BR,1585509018,66,-12.37,-40.67,84.2,4.7
Stornoway,99,GB,1585509018,87,58.21,-6.39,45.0,16.11
Pevek,100,RU,1585509019,88,69.7,170.31,15.04,28.41
Ahmadpur East,0,PK,1585509019,31,29.14,71.26,76.42,3.87
Abu Dhabi,20,AE,1585508967,35,24.47,54.37,86.0,11.41
Turukhansk,100,RU,1585509019,98,65.82,87.98,27.73,12.68
Bilma,37,NE,1585509019,11,18.69,12.92,87.37,5.01
Straumen,75,NO,1585509019,80,63.87,11.3,35.01,6.93
Ribeira Grande,47,PT,1585509019,76,38.52,-28.7,58.73,18.99
Vila Velha,47,BR,1585509019,74,-20.33,-40.29,82.4,10.29
Haines Junction,91,CA,1585509020,76,60.75,-137.51,2.79,8.79
Dunedin,69,NZ,1585509020,94,-45.87,170.5,54.0,1.01
Great Yarmouth,40,GB,1585509020,52,52.61,1.73,42.01,17.22
Usinsk,64,RU,1585509020,93,65.99,57.53,19.06,14.56
Turiaçu,38,BR,1585509021,78,-1.66,-45.37,84.43,6.85
Amapá,87,BR,1585508766,87,1.0,-52.0,81.82,4.18
Safaga,0,EG,1585509021,19,26.73,33.94,71.6,8.63
Kletskaya,14,RU,1585509021,42,49.31,43.06,51.49,12.24
Trebur,75,DE,1585509021,65,49.93,8.42,44.01,24.16
Bembèrèkè,34,BJ,1585509021,18,10.23,2.66,94.73,3.11
Caratinga,95,BR,1585509021,62,-19.79,-42.14,78.4,2.93
Kargopol',100,RU,1585509021,92,61.51,38.95,24.69,4.09
Markova,82,UA,1585509021,34,48.68,24.41,51.8,4.47
Kaka,89,TM,1585509022,61,37.35,59.61,58.62,8.1
Iwanai,0,JP,1585509022,88,42.97,140.51,31.35,2.39
Japura,20,ID,1585509022,96,-0.32,102.35,74.8,1.7
Santo Tomas,20,PH,1585509022,69,14.11,121.14,82.4,6.93
Santa María del Oro,41,MX,1585509022,10,25.93,-105.37,75.56,8.16
Qandala,2,SO,1585509022,64,11.47,49.87,83.79,5.03
Mackay,75,AU,1585509022,94,-21.15,149.2,75.0,5.82
Iqaluit,75,CA,1585509023,71,63.75,-68.51,8.6,3.36
Pitimbu,75,BR,1585509023,88,-7.47,-34.81,82.4,10.29
Dawei,0,MM,1585508883,73,14.08,98.2,75.42,3.02
Yar-Sale,37,RU,1585509023,94,66.83,70.83,25.66,25.17
Wanaka,54,NZ,1585509023,81,-44.7,169.15,44.01,1.52
Nesna,40,NO,1585509023,79,66.2,13.02,28.4,12.75
Tigzirt,18,DZ,1585509023,69,36.89,4.12,56.98,6.67
Florence,40,IT,1585508860,62,43.77,11.25,59.0,6.93
Hervey Bay,6,AU,1585508773,94,-25.3,152.85,68.0,6.93
Mackenzie,90,CA,1585509023,72,55.3,-123.17,14.0,10.29
Alamosa,75,US,1585509024,18,37.47,-105.87,50.0,16.11
Alofi,36,NU,1585509024,94,-19.06,-169.92,77.0,3.36
Kahului,20,US,1585509007,69,20.89,-156.47,77.0,16.11
Yangi Marg`ilon,7,UZ,1585509024,50,40.43,71.72,53.6,6.93
Imeni Stepana Razina,88,RU,1585509024,72,54.89,44.3,42.24,8.95
Copala,0,MX,1585509024,42,16.65,-98.98,86.18,9.19
Sola,100,VU,1585509024,82,-13.88,167.55,79.79,10.38
Wanning,59,CN,1585509024,90,18.8,110.4,76.64,8.77
Seoul,1,KR,1585509024,70,37.57,126.98,42.8,3.2
Goālpāra,0,IN,1585509024,25,26.17,90.62,75.2,5.1
Saint-Joseph,40,RE,1585509025,83,-21.37,55.62,77.0,4.7
Vallenar,87,CL,1585509025,23,-28.57,-70.76,82.49,9.66
Urk,20,NL,1585509025,55,52.66,5.6,39.99,18.34
Grand Gaube,75,MU,1585509025,94,-20.01,57.66,80.6,9.17
Bahía Honda,5,CU,1585509025,60,22.9,-83.16,82.99,11.99
Lüderitz,0,NA,1585509025,72,-26.65,15.16,64.4,16.11
Moerai,5,PF,1585509025,66,-22.43,-151.33,78.93,11.74
Danshui,75,CN,1585509025,83,22.8,114.47,73.0,6.71
Kīhei,20,US,1585509025,69,20.79,-156.47,77.0,16.11
Veshkayma,68,RU,1585509026,71,54.05,47.13,39.6,8.19
Viedma,38,AR,1585508802,38,-40.81,-63.0,71.17,9.71
Hamilton,1,US,1585509004,42,39.18,-84.53,66.2,28.86
Ahmednagar,45,IN,1585509026,27,19.08,74.73,83.59,11.03
Ponta do Sol,20,PT,1585508913,77,32.67,-17.1,64.4,2.24
Labuhan,100,ID,1585509026,84,-6.88,112.21,77.68,3.36
Rumonge,99,BI,1585509027,60,-3.97,29.44,72.54,2.8
Davila,20,PH,1585509027,83,18.47,120.58,77.0,2.24
Altea,20,ES,1585509027,67,38.6,-0.05,63.0,4.7
Evensk,74,RU,1585509027,93,61.95,159.23,13.21,8.48
